unnamed:_0,area,item,year,hg_ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,cluster
94,Albania,Wheat,2012,41096,1485.0,766.25,16.7,3
95,Albania,Maize,2013,69533,1485.0,982.32,17.41,3
96,Albania,Potatoes,2013,260110,1485.0,982.32,17.41,3
97,Albania,Soybeans,2013,10000,1485.0,982.32,17.41,3
98,Albania,Wheat,2013,41292,1485.0,982.32,17.41,3
99,Algeria,Maize,1990,16500,89.0,1828.92,17.48,3
100,Algeria,Potatoes,1990,78936,89.0,1828.92,17.48,3
101,Algeria,"Rice, paddy",1990,28000,89.0,1828.92,17.48,3
102,Algeria,Sorghum,1990,16571,89.0,1828.92,17.48,3
103,Algeria,Wheat,1990,6315,89.0,1828.92,17.48,3
104,Algeria,Maize,1991,19231,89.0,2461.8,16.26,3
105,Algeria,Potatoes,1991,90747,89.0,2461.8,16.26,3
106,Algeria,"Rice, paddy",1991,26786,89.0,2461.8,16.26,3
107,Algeria,Sorghum,1991,24231,89.0,2461.8,16.26,3
108,Algeria,Wheat,1991,10809,89.0,2461.8,16.26,3
109,Algeria,Maize,1992,22828,89.0,1215.47,16.27,3
110,Algeria,Potatoes,1992,107917,89.0,1215.47,16.27,3
111,Algeria,"Rice, paddy",1992,24733,89.0,1215.47,16.27,3
112,Algeria,Sorghum,1992,40000,89.0,1215.47,16.27,3
113,Algeria,Wheat,1992,9939,89.0,1215.47,16.27,3
114,Algeria,Maize,1993,12500,89.0,1021.89,17.0,3
115,Algeria,Potatoes,1993,111215,89.0,1021.89,17.0,3
116,Algeria,"Rice, paddy",1993,23111,89.0,1021.89,17.0,3
117,Algeria,Sorghum,1993,50000,89.0,1021.89,17.0,3
118,Algeria,Wheat,1993,8097,89.0,1021.89,17.0,3
119,Algeria,Maize,1994,4512,89.0,1255.02,17.88,3
120,Algeria,Potatoes,1994,95078,89.0,1255.02,17.88,3
121,Algeria,"Rice, paddy",1994,21374,89.0,1255.02,17.88,3
122,Algeria,Wheat,1994,7999,89.0,1255.02,17.88,3
123,Algeria,Maize,1995,16115,89.0,2697.09,17.36,3
124,Algeria,Potatoes,1995,136768,89.0,2697.09,17.36,3
125,Algeria,"Rice, paddy",1995,19598,89.0,2697.09,17.36,3
126,Algeria,Sorghum,1995,12667,89.0,2697.09,17.36,3
127,Algeria,Wheat,1995,8924,89.0,2697.09,17.36,3
128,Algeria,Maize,1996,17154,89.0,479.77,16.76,3
129,Algeria,Potatoes,1996,134629,89.0,479.77,16.76,3
130,Algeria,"Rice, paddy",1996,17861,89.0,479.77,16.76,3
131,Algeria,Sorghum,1996,14750,89.0,479.77,16.76,3
132,Algeria,Wheat,1996,13090,89.0,479.77,16.76,3
133,Algeria,Maize,1997,21417,89.0,401.22,17.84,3
134,Algeria,Potatoes,1997,141042,89.0,401.22,17.84,3
135,Algeria,"Rice, paddy",1997,15000,89.0,401.22,17.84,3
136,Algeria,Sorghum,1997,40000,89.0,401.22,17.84,3
137,Algeria,Wheat,1997,8016,89.0,401.22,17.84,3
138,Algeria,Maize,1998,17222,89.0,322.84,17.14,3
139,Algeria,Potatoes,1998,160256,89.0,322.84,17.14,3
140,Algeria,"Rice, paddy",1998,15000,89.0,322.84,17.14,3
141,Algeria,Sorghum,1998,24500,89.0,322.84,17.14,3
142,Algeria,Wheat,1998,8847,89.0,322.84,17.14,3
143,Algeria,Maize,1999,22375,89.0,654.45,17.97,3
144,Algeria,Potatoes,1999,153532,89.0,654.45,17.97,3
145,Algeria,"Rice, paddy",1999,13942,89.0,654.45,17.97,3
146,Algeria,Sorghum,1999,27000,89.0,654.45,17.97,3
147,Algeria,Wheat,1999,10711,89.0,654.45,17.97,3
148,Algeria,Maize,2000,36186,89.0,603.67,17.9,3
149,Algeria,Potatoes,2000,166143,89.0,603.67,17.9,3
150,Algeria,"Rice, paddy",2000,13052,89.0,603.67,17.9,3
151,Algeria,Sorghum,2000,69500,89.0,603.67,17.9,3
152,Algeria,Wheat,2000,9194,89.0,603.67,17.9,3
153,Algeria,Maize,2001,27175,89.0,710.11,18.13,3
154,Algeria,Potatoes,2001,147018,89.0,710.11,18.13,3
155,Algeria,"Rice, paddy",2001,12314,89.0,710.11,18.13,3
156,Algeria,Sorghum,2001,27750,89.0,710.11,18.13,3
157,Algeria,Wheat,2001,11104,89.0,710.11,18.13,3
158,Algeria,Maize,2002,33480,89.0,816.55,17.85,3
159,Algeria,Potatoes,2002,183774,89.0,816.55,17.85,3
160,Algeria,"Rice, paddy",2002,12959,89.0,816.55,17.85,3
161,Algeria,Sorghum,2002,33900,89.0,816.55,17.85,3
162,Algeria,Wheat,2002,10739,89.0,816.55,17.85,3
163,Algeria,Maize,2004,31729,89.0,3747.86,17.38,3
164,Algeria,Potatoes,2004,203585,89.0,3747.86,17.38,3
165,Algeria,"Rice, paddy",2004,12829,89.0,3747.86,17.38,3
166,Algeria,Sorghum,2004,43316,89.0,3747.86,17.38,3
167,Algeria,Wheat,2004,13582,89.0,3747.86,17.38,3
168,Algeria,Maize,2005,33864,89.0,3662.87,17.19,3
169,Algeria,Potatoes,2005,216267,89.0,3662.87,17.19,3
170,Algeria,"Rice, paddy",2005,12998,89.0,3662.87,17.19,3
171,Algeria,Sorghum,2005,33486,89.0,3662.87,17.19,3
172,Algeria,Wheat,2005,15057,89.0,3662.87,17.19,3
173,Algeria,Maize,2006,65668,89.0,4110.72,18.13,3
174,Algeria,Potatoes,2006,220689,89.0,4110.72,18.13,3
175,Algeria,"Rice, paddy",2006,12769,89.0,4110.72,18.13,3
176,Algeria,Sorghum,2006,56728,89.0,4110.72,18.13,3
177,Algeria,Wheat,2006,15068,89.0,4110.72,18.13,3
178,Algeria,Maize,2007,85625,89.0,5390.79,17.42,3
179,Algeria,Potatoes,2007,189927,89.0,5390.79,17.42,3
180,Algeria,"Rice, paddy",2007,13375,89.0,5390.79,17.42,3
181,Algeria,Sorghum,2007,119059,89.0,5390.79,17.42,3
182,Algeria,Wheat,2007,12742,89.0,5390.79,17.42,3
183,Algeria,Maize,2008,44714,89.0,11556.12,17.55,3
184,Algeria,Potatoes,2008,236393,89.0,11556.12,17.55,3
185,Algeria,"Rice, paddy",2008,13952,89.0,11556.12,17.55,3
186,Algeria,Sorghum,2008,61786,89.0,11556.12,17.55,3
187,Algeria,Wheat,2008,11038,89.0,11556.12,17.55,3
188,Algeria,Maize,2009,30914,89.0,3867.99,17.78,3
189,Algeria,Potatoes,2009,250764,89.0,3867.99,17.78,3
190,Algeria,"Rice, paddy",2009,14594,89.0,3867.99,17.78,3
191,Algeria,Sorghum,2009,90465,89.0,3867.99,17.78,3
192,Algeria,Wheat,2009,15975,89.0,3867.99,17.78,3
193,Algeria,Maize,2010,25827,89.0,1295.88,17.59,3
194,Algeria,Potatoes,2010,270526,89.0,1295.88,17.59,3
195,Algeria,"Rice, paddy",2010,15305,89.0,1295.88,17.59,3
196,Algeria,Sorghum,2010,30286,89.0,1295.88,17.59,3
197,Algeria,Wheat,2010,14838,89.0,1295.88,17.59,3
198,Algeria,Maize,2011,23374,89.0,13861.76,17.79,3
199,Algeria,Potatoes,2011,292806,89.0,13861.76,17.79,3
200,Algeria,"Rice, paddy",2011,16081,89.0,13861.76,17.79,3
201,Algeria,Sorghum,2011,100000,89.0,13861.76,17.79,3
202,Algeria,Wheat,2011,17405,89.0,13861.76,17.79,3
203,Algeria,Maize,2012,25583,89.0,17379.76,17.91,3
204,Algeria,Potatoes,2012,304291,89.0,17379.76,17.91,3
205,Algeria,"Rice, paddy",2012,16667,89.0,17379.76,17.91,3
206,Algeria,Sorghum,2012,206000,89.0,17379.76,17.91,3
207,Algeria,Wheat,2012,17639,89.0,17379.76,17.91,3
208,Algeria,Maize,2013,33649,89.0,17278.65,17.65,3
209,Algeria,Potatoes,2013,303218,89.0,17278.65,17.65,3
210,Algeria,"Rice, paddy",2013,17778,89.0,17278.65,17.65,3
211,Algeria,Sorghum,2013,60000,89.0,17278.65,17.65,3
212,Algeria,Wheat,2013,19100,89.0,17278.65,17.65,3
213,Angola,Cassava,1990,41177,1010.0,64.0,24.12,0
214,Angola,Maize,1990,2736,1010.0,64.0,24.12,0
215,Angola,Potatoes,1990,40000,1010.0,64.0,24.12,0
216,Angola,"Rice, paddy",1990,9512,1010.0,64.0,24.12,0
217,Angola,Sweet potatoes,1990,89342,1010.0,64.0,24.12,0
218,Angola,Wheat,1990,7995,1010.0,64.0,24.12,0
219,Angola,Cassava,1991,40295,1010.0,79.0,24.02,0
220,Angola,Maize,1991,4013,1010.0,79.0,24.02,0
221,Angola,Potatoes,1991,40000,1010.0,79.0,24.02,0
222,Angola,"Rice, paddy",1991,10000,1010.0,79.0,24.02,0
223,Angola,Sweet potatoes,1991,83001,1010.0,79.0,24.02,0
224,Angola,Wheat,1991,8000,1010.0,79.0,24.02,0
225,Angola,Cassava,1992,42295,1010.0,23.0,23.96,0
226,Angola,Maize,1992,3778,1010.0,23.0,23.96,0
227,Angola,Potatoes,1992,40000,1010.0,23.0,23.96,0
228,Angola,"Rice, paddy",1992,9106,1010.0,23.0,23.96,0
229,Angola,Sweet potatoes,1992,90000,1010.0,23.0,23.96,0
230,Angola,Wheat,1992,8000,1010.0,23.0,23.96,0
231,Angola,Cassava,1993,42295,1010.0,169.0,24.15,0
232,Angola,Maize,1993,2627,1010.0,169.0,24.15,0
233,Angola,Potatoes,1993,70000,1010.0,169.0,24.15,0
234,Angola,"Rice, paddy",1993,8000,1010.0,169.0,24.15,0
235,Angola,Sweet potatoes,1993,88095,1010.0,169.0,24.15,0
236,Angola,Wheat,1993,8876,1010.0,169.0,24.15,0
237,Angola,Cassava,1994,58596,1010.0,25.5,24.04,0
238,Angola,Maize,1994,2463,1010.0,25.5,24.04,0
239,Angola,Potatoes,1994,90000,1010.0,25.5,24.04,0
240,Angola,"Rice, paddy",1994,8750,1010.0,25.5,24.04,0
241,Angola,Sweet potatoes,1994,83192,1010.0,25.5,24.04,0
242,Angola,Wheat,1994,10000,1010.0,25.5,24.04,0
243,Angola,Cassava,1995,51000,1010.0,336.0,24.56,0
244,Angola,Maize,1995,3517,1010.0,336.0,24.56,0
245,Angola,Potatoes,1995,76738,1010.0,336.0,24.56,0
246,Angola,"Rice, paddy",1995,14615,1010.0,336.0,24.56,0
247,Angola,Sweet potatoes,1995,81138,1010.0,336.0,24.56,0
248,Angola,Wheat,1995,11855,1010.0,336.0,24.56,0
249,Angola,Cassava,1996,48077,1010.0,40.0,24.11,0
250,Angola,Maize,1996,6993,1010.0,40.0,24.11,0
251,Angola,Potatoes,1996,70000,1010.0,40.0,24.11,0
252,Angola,"Rice, paddy",1996,17500,1010.0,40.0,24.11,0
253,Angola,Sweet potatoes,1996,85455,1010.0,40.0,24.11,0
254,Angola,Wheat,1996,13738,1010.0,40.0,24.11,0
255,Angola,Cassava,1997,44205,1010.0,40.0,24.06,0
256,Angola,Maize,1997,5959,1010.0,40.0,24.06,0
257,Angola,Potatoes,1997,68571,1010.0,40.0,24.06,0
258,Angola,"Rice, paddy",1997,20000,1010.0,40.0,24.06,0
259,Angola,Sweet potatoes,1997,78098,1010.0,40.0,24.06,0
260,Angola,Wheat,1997,15509,1010.0,40.0,24.06,0
261,Angola,Cassava,1998,55728,1010.0,40.0,24.96,0
262,Angola,Maize,1998,7396,1010.0,40.0,24.96,0
263,Angola,Potatoes,1998,62724,1010.0,40.0,24.96,0
264,Angola,"Rice, paddy",1998,20000,1010.0,40.0,24.96,0
265,Angola,Sweet potatoes,1998,76256,1010.0,40.0,24.96,0
266,Angola,Wheat,1998,17143,1010.0,40.0,24.96,0
267,Angola,Cassava,1999,59821,1010.0,40.0,24.37,0
268,Angola,Maize,1999,6361,1010.0,40.0,24.37,0
269,Angola,Potatoes,1999,54597,1010.0,40.0,24.37,0
270,Angola,"Rice, paddy",1999,14235,1010.0,40.0,24.37,0
271,Angola,Sweet potatoes,1999,82865,1010.0,40.0,24.37,0
272,Angola,Wheat,1999,17391,1010.0,40.0,24.37,0
273,Angola,Cassava,2000,82992,1010.0,40.0,24.41,0
274,Angola,Maize,2000,5745,1010.0,40.0,24.41,0
275,Angola,Potatoes,2000,29885,1010.0,40.0,24.41,0
276,Angola,"Rice, paddy",2000,13454,1010.0,40.0,24.41,0
277,Angola,Sorghum,2000,3333,1010.0,40.0,24.41,0
278,Angola,Soybeans,2000,2333,1010.0,40.0,24.41,0
279,Angola,Sweet potatoes,2000,34938,1010.0,40.0,24.41,0
280,Angola,Wheat,2000,17023,1010.0,40.0,24.41,0
281,Angola,Cassava,2001,94072,1010.0,40.0,24.43,0
282,Angola,Maize,2001,5754,1010.0,40.0,24.43,0
283,Angola,Potatoes,2001,42552,1010.0,40.0,24.43,0
284,Angola,"Rice, paddy",2001,13701,1010.0,40.0,24.43,0
285,Angola,Sorghum,2001,3571,1010.0,40.0,24.43,0
286,Angola,Soybeans,2001,2500,1010.0,40.0,24.43,0
287,Angola,Sweet potatoes,2001,44458,1010.0,40.0,24.43,0
288,Angola,Wheat,2001,16667,1010.0,40.0,24.43,0
289,Angola,Cassava,2002,110071,1010.0,40.0,24.79,0
290,Angola,Maize,2002,6706,1010.0,40.0,24.79,0
291,Angola,Potatoes,2002,42754,1010.0,40.0,24.79,0
292,Angola,"Rice, paddy",2002,13198,1010.0,40.0,24.79,0
293,Angola,Sorghum,2002,3400,1010.0,40.0,24.79,0
294,Angola,Soybeans,2002,2857,1010.0,40.0,24.79,0
295,Angola,Sweet potatoes,2002,42190,1010.0,40.0,24.79,0
296,Angola,Wheat,2002,15455,1010.0,40.0,24.79,0
297,Angola,Cassava,2004,125605,1010.0,40.0,24.22,0
298,Angola,Maize,2004,5404,1010.0,40.0,24.22,0
299,Angola,Potatoes,2004,20150,1010.0,40.0,24.22,0
300,Angola,"Rice, paddy",2004,11584,1010.0,40.0,24.22,0
301,Angola,Sorghum,2004,3333,1010.0,40.0,24.22,0
302,Angola,Soybeans,2004,3600,1010.0,40.0,24.22,0
303,Angola,Sweet potatoes,2004,45360,1010.0,40.0,24.22,0
304,Angola,Wheat,2004,12442,1010.0,40.0,24.22,0
305,Angola,Cassava,2005,117628,1010.0,40.0,24.41,0
306,Angola,Maize,2005,6736,1010.0,40.0,24.41,0
307,Angola,Potatoes,2005,23646,1010.0,40.0,24.41,0
308,Angola,"Rice, paddy",2005,6977,1010.0,40.0,24.41,0
309,Angola,Sorghum,2005,3333,1010.0,40.0,24.41,0
310,Angola,Soybeans,2005,3793,1010.0,40.0,24.41,0
311,Angola,Sweet potatoes,2005,46159,1010.0,40.0,24.41,0
312,Angola,Wheat,2005,10946,1010.0,40.0,24.41,0
313,Angola,Cassava,2006,117201,1010.0,40.0,24.14,0
314,Angola,Maize,2006,4687,1010.0,40.0,24.14,0
315,Angola,Potatoes,2006,52148,1010.0,40.0,24.14,0
316,Angola,"Rice, paddy",2006,4947,1010.0,40.0,24.14,0
317,Angola,Sorghum,2006,4091,1010.0,40.0,24.14,0
318,Angola,Soybeans,2006,4286,1010.0,40.0,24.14,0
319,Angola,Sweet potatoes,2006,44240,1010.0,40.0,24.14,0
320,Angola,Wheat,2006,10000,1010.0,40.0,24.14,0
321,Angola,Cassava,2007,115387,1010.0,40.0,24.24,0
322,Angola,Maize,2007,5091,1010.0,40.0,24.24,0
323,Angola,Potatoes,2007,62138,1010.0,40.0,24.24,0
324,Angola,"Rice, paddy",2007,5143,1010.0,40.0,24.24,0
325,Angola,Sorghum,2007,4031,1010.0,40.0,24.24,0
326,Angola,Soybeans,2007,6883,1010.0,40.0,24.24,0
327,Angola,Sweet potatoes,2007,58855,1010.0,40.0,24.24,0
328,Angola,Wheat,2007,10000,1010.0,40.0,24.24,0
329,Angola,Cassava,2008,148084,1010.0,40.0,24.27,0
330,Angola,Maize,2008,7946,1010.0,40.0,24.27,0
331,Angola,Potatoes,2008,85085,1010.0,40.0,24.27,0
332,Angola,"Rice, paddy",2008,5084,1010.0,40.0,24.27,0
333,Angola,Sorghum,2008,929,1010.0,40.0,24.27,0
334,Angola,Soybeans,2008,8575,1010.0,40.0,24.27,0
335,Angola,Sweet potatoes,2008,65437,1010.0,40.0,24.27,0
336,Angola,Wheat,2008,10000,1010.0,40.0,24.27,0
337,Angola,Cassava,2009,151759,1010.0,40.0,24.33,0
338,Angola,Maize,2009,6614,1010.0,40.0,24.33,0
339,Angola,Potatoes,2009,86509,1010.0,40.0,24.33,0
340,Angola,"Rice, paddy",2009,6028,1010.0,40.0,24.33,0
341,Angola,Sorghum,2009,2480,1010.0,40.0,24.33,0
342,Angola,Soybeans,2009,4449,1010.0,40.0,24.33,0
343,Angola,Sweet potatoes,2009,66475,1010.0,40.0,24.33,0
344,Angola,Wheat,2009,10000,1010.0,40.0,24.33,0
345,Angola,Cassava,2010,155782,1010.0,40.0,24.44,0
346,Angola,Maize,2010,7200,1010.0,40.0,24.44,0
347,Angola,Potatoes,2010,87425,1010.0,40.0,24.44,0
348,Angola,"Rice, paddy",2010,7403,1010.0,40.0,24.44,0
349,Angola,Sorghum,2010,2814,1010.0,40.0,24.44,0
350,Angola,Soybeans,2010,4446,1010.0,40.0,24.44,0
351,Angola,Sweet potatoes,2010,63001,1010.0,40.0,24.44,0
352,Angola,Wheat,2010,10526,1010.0,40.0,24.44,0
353,Angola,Cassava,2011,133649,1010.0,40.0,24.15,0
354,Angola,Maize,2011,7376,1010.0,40.0,24.15,0
355,Angola,Potatoes,2011,81366,1010.0,40.0,24.15,0
356,Angola,"Rice, paddy",2011,8914,1010.0,40.0,24.15,0
357,Angola,Sorghum,2011,3320,1010.0,40.0,24.15,0
358,Angola,Soybeans,2011,5294,1010.0,40.0,24.15,0
359,Angola,Sweet potatoes,2011,65512,1010.0,40.0,24.15,0
360,Angola,Wheat,2011,10959,1010.0,40.0,24.15,0
361,Angola,Cassava,2012,100073,1010.0,40.0,24.24,0
362,Angola,Maize,2012,7770,1010.0,40.0,24.24,0
363,Angola,Potatoes,2012,69381,1010.0,40.0,24.24,0
364,Angola,"Rice, paddy",2012,7703,1010.0,40.0,24.24,0
365,Angola,Sorghum,2012,998,1010.0,40.0,24.24,0
366,Angola,Soybeans,2012,1641,1010.0,40.0,24.24,0
367,Angola,Sweet potatoes,2012,52954,1010.0,40.0,24.24,0
368,Angola,Wheat,2012,11258,1010.0,40.0,24.24,0
369,Angola,Cassava,2013,140517,1010.0,40.0,24.55,0
370,Angola,Maize,2013,9467,1010.0,40.0,24.55,0
371,Angola,Potatoes,2013,63303,1010.0,40.0,24.55,0
372,Angola,"Rice, paddy",2013,12744,1010.0,40.0,24.55,0
373,Angola,Sorghum,2013,2415,1010.0,40.0,24.55,0
374,Angola,Soybeans,2013,4405,1010.0,40.0,24.55,0
375,Angola,Sweet potatoes,2013,73409,1010.0,40.0,24.55,0
376,Angola,Wheat,2013,9022,1010.0,40.0,24.55,0
377,Argentina,Cassava,1990,100000,591.0,26156.0,17.46,3
378,Argentina,Cassava,1990,100000,591.0,26156.0,17.67,3
379,Argentina,Maize,1990,34608,591.0,26156.0,17.46,3
380,Argentina,Maize,1990,34608,591.0,26156.0,17.67,3
381,Argentina,Potatoes,1990,202747,591.0,26156.0,17.46,3
382,Argentina,Potatoes,1990,202747,591.0,26156.0,17.67,3
383,Argentina,"Rice, paddy",1990,36709,591.0,26156.0,17.46,3
384,Argentina,"Rice, paddy",1990,36709,591.0,26156.0,17.67,3
385,Argentina,Sorghum,1990,28116,591.0,26156.0,17.46,3
386,Argentina,Sorghum,1990,28116,591.0,26156.0,17.67,3
387,Argentina,Soybeans,1990,21566,591.0,26156.0,17.46,3
388,Argentina,Soybeans,1990,21566,591.0,26156.0,17.67,3
389,Argentina,Sweet potatoes,1990,131864,591.0,26156.0,17.46,3
390,Argentina,Sweet potatoes,1990,131864,591.0,26156.0,17.67,3
391,Argentina,Wheat,1990,18947,591.0,26156.0,17.46,3
392,Argentina,Wheat,1990,18947,591.0,26156.0,17.67,3
393,Argentina,Cassava,1991,100000,591.0,26156.0,17.64,3
394,Argentina,Cassava,1991,100000,591.0,26156.0,17.86,3
395,Argentina,Maize,1991,40444,591.0,26156.0,17.64,3
396,Argentina,Maize,1991,40444,591.0,26156.0,17.86,3
397,Argentina,Potatoes,1991,205692,591.0,26156.0,17.64,3
398,Argentina,Potatoes,1991,205692,591.0,26156.0,17.86,3
399,Argentina,"Rice, paddy",1991,40294,591.0,26156.0,17.64,3
400,Argentina,"Rice, paddy",1991,40294,591.0,26156.0,17.86,3
401,Argentina,Sorghum,1991,33320,591.0,26156.0,17.64,3
402,Argentina,Sorghum,1991,33320,591.0,26156.0,17.86,3
403,Argentina,Soybeans,1991,22750,591.0,26156.0,17.64,3
404,Argentina,Soybeans,1991,22750,591.0,26156.0,17.86,3
405,Argentina,Sweet potatoes,1991,131364,591.0,26156.0,17.64,3
406,Argentina,Sweet potatoes,1991,131364,591.0,26156.0,17.86,3
407,Argentina,Wheat,1991,18972,591.0,26156.0,17.64,3
408,Argentina,Wheat,1991,18972,591.0,26156.0,17.86,3
409,Argentina,Cassava,1992,100000,591.0,26156.0,17.09,3
410,Argentina,Cassava,1992,100000,591.0,26156.0,17.51,3
411,Argentina,Maize,1992,45237,591.0,26156.0,17.09,3
412,Argentina,Maize,1992,45237,591.0,26156.0,17.51,3
413,Argentina,Potatoes,1992,199039,591.0,26156.0,17.09,3
414,Argentina,Potatoes,1992,199039,591.0,26156.0,17.51,3
415,Argentina,"Rice, paddy",1992,52075,591.0,26156.0,17.09,3
